

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

000.011  000.011: --- NVIM STARTING ---
000.698  000.687: locale set
001.753  001.056: inits 1
001.776  000.022: window checked
002.315  000.540: parsing arguments
002.320  000.004: expanding arguments
002.394  000.074: inits 2
002.564  000.170: init highlight
004.983  002.039  002.039: sourcing /Users/stanciua/.config/nvim/autoload/plug.vim
013.511  000.044  000.044: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/ftoff.vim
014.346  000.026  000.026: sourcing /Users/stanciua/.vim/plugged/vader.vim/ftdetect/vader.vim
015.934  000.037  000.037: sourcing /Users/stanciua/.vim/plugged/vim-scala/ftdetect/scala.vim
016.441  000.019  000.019: sourcing /Users/stanciua/.vim/plugged/unicode.vim/ftdetect/unicode.vim
036.844  000.073  000.073: sourcing /Users/stanciua/.vim/plugged/vim-journal/ftdetect/journal.vim
037.643  000.392  000.392: sourcing /Users/stanciua/.vim/plugged/vim-ruby/ftdetect/ruby.vim
038.106  000.423  000.423: sourcing /Users/stanciua/.vim/plugged/vim-ruby/ftdetect/ruby_extra.vim
038.309  000.115  000.115: sourcing /Users/stanciua/.vim/plugged/vim-clojure-static/ftdetect/clojure.vim
038.509  000.107  000.107: sourcing /Users/stanciua/.vim/plugged/vim-go/ftdetect/gofiletype.vim
038.736  000.071  000.071: sourcing /Users/stanciua/.vim/plugged/vim-less/ftdetect/less.vim
039.033  000.105  000.105: sourcing /Users/stanciua/.vim/plugged/vim-javascript/ftdetect/javascript.vim
039.392  000.148  000.148: sourcing /Users/stanciua/.vim/plugged/vim-coffee-script/ftdetect/coffee.vim
039.531  000.036  000.036: sourcing /Users/stanciua/.vim/plugged/vim-slim/ftdetect/slim.vim
039.799  000.149  000.149: sourcing /Users/stanciua/.vim/plugged/Vim-Jinja2-Syntax/ftdetect/jinja.vim
039.903  000.025  000.025: sourcing /Users/stanciua/.vim/plugged/rust.vim/ftdetect/rust.vim
040.006  000.027  000.027: sourcing /Users/stanciua/.vim/plugged/dockerfile.vim/ftdetect/dockerfile.vim
040.108  000.027  000.027: sourcing /Users/stanciua/.vim/plugged/thrift.vim/ftdetect/thrift.vim
040.361  000.155  000.155: sourcing /Users/stanciua/.vim/plugged/vim-fish/ftdetect/fish.vim
040.919  021.220  019.366: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/filetype.vim
041.868  000.100  000.100: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/ftplugin.vim
042.616  000.074  000.074: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/indent.vim
044.053  000.254  000.254: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syncolor.vim
044.250  000.899  000.645: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/synload.vim
044.295  001.501  000.602: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syntax.vim
045.885  000.181  000.181: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syncolor.vim
046.487  000.177  000.177: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syncolor.vim
049.554  004.605  004.248: sourcing /Users/stanciua/.vim/plugged/seoul256.vim/colors/seoul256.vim
053.238  000.015  000.015: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/macros/matchit.vim
055.896  000.274  000.274: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syncolor.vim
056.778  000.292  000.292: sourcing /usr/local/Cellar/neovim/0.1.6/share/nvim/runtime/syntax/syncolor.vim
087.651  032.725  032.159: sourcing /Users/stanciua/.vim/plugged/vim-tomorrow-theme/colors/Tomorrow-Night-Bright.vim
087.766  084.951  022.547: sourcing /Users/stanciua/.config/nvim/init.vim
087.774  000.259: sourcing vimrc file(s)
088.656  000.112  000.112: sourcing /Users/stanciua/.vim/plugged/vim-pseudocl/autoload/pseudocl.vim
089.845  001.831  001.719: sourcing /Users/stanciua/.vim/plugged/vim-oblique/plugin/oblique.vim
090.217  000.242  000.242: sourcing /Users/stanciua/.vim/plugged/vim-fnr/plugin/fnr.vim
